,Total Return,CAGR,Annualized Volatility,Sharpe Ratio,Max Drawdown
Custom Multi-Asset Index,3.323904952179978,0.10546167854132049,0.10837810955233888,0.979574527770191,-0.2140304232016117
SPY,6.736301836732227,0.15039032974151123,0.16546289236740297,0.9298739981876027,-0.33717285755478565
