,SPY,TLT,GLD,VNQ,DBC
2012-07-31,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
2012-08-31,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
2012-10-31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2012-11-30,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333
2012-12-31,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333
2013-01-31,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333
2013-02-28,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
2013-04-30,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
2013-05-31,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333
2013-07-31,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
2013-09-30,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333
2013-10-31,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333
2013-12-31,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333
2014-01-31,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
2014-02-28,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
2014-03-31,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
2014-04-30,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
2014-06-30,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2014-07-31,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
2014-09-30,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
2014-10-31,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
2014-12-31,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
2015-03-31,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
2015-04-30,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
2015-06-30,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333
2015-07-31,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333
2015-08-31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2015-09-30,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2015-11-30,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
2015-12-31,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
2016-02-29,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2016-03-31,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
2016-05-31,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2016-06-30,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
2016-08-31,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333
2016-09-30,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
2016-10-31,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333
2016-11-30,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333
2017-01-31,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333
2017-02-28,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333
2017-03-31,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333
2017-05-31,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
2017-06-30,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2017-07-31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2017-08-31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2017-10-31,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333
2017-11-30,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333
