date,EEM,GLD,QQQ,SPY,TLT
2015-01-02 00:00:00,30.19809341430664,114.08000183105469,94.56114959716797,169.6877899169922,92.65931701660156
2015-01-05 00:00:00,29.6606502532959,115.80000305175781,93.17404174804688,166.62335205078125,94.11485290527344
2015-01-06 00:00:00,29.536020278930664,117.12000274658203,91.92474365234375,165.05389404296875,95.81046295166016
2015-01-07 00:00:00,30.174726486206055,116.43000030517578,93.10977172851562,167.11073303222656,95.62129974365234
2015-01-08 00:00:00,30.688793182373047,115.94000244140625,94.891845703125,170.07603454589844,94.35499572753906
2015-01-09 00:00:00,30.587539672851562,117.26000213623047,94.26719665527344,168.71315002441406,95.38845825195312
2015-01-12 00:00:00,30.338294982910156,118.55999755859375,93.28428649902344,167.39149475097656,95.9342269897461
2015-01-13 00:00:00,30.603113174438477,118.16000366210938,93.25672149658203,166.9207305908203,95.9342269897461
2015-01-14 00:00:00,30.4317569732666,117.97000122070312,92.74229431152344,165.91297912597656,96.66200256347656
2015-01-15 00:00:00,30.501861572265625,120.94000244140625,91.53892517089844,164.3931427001953,98.18309020996094
2015-01-16 00:00:00,30.758895874023438,122.5199966430664,92.61369323730469,166.5489959716797,96.93122863769531
2015-01-20 00:00:00,30.712169647216797,124.19999694824219,93.34857177734375,166.90419006347656,98.21943664550781
2015-01-21 00:00:00,31.389802932739258,124.2300033569336,93.82622528076172,167.7467041015625,97.08413696289062
2015-01-22 00:00:00,31.989564895629883,125.2300033569336,95.56241607666016,170.24124145507812,96.73480224609375
2015-01-23 00:00:00,31.74810791015625,124.2300033569336,95.77374267578125,169.30789184570312,98.08114624023438
2015-01-26 00:00:00,31.763675689697266,122.98999786376953,95.66349792480469,169.7043914794922,97.78278350830078
2015-01-27 00:00:00,31.59232521057129,124.4000015258789,93.1832504272461,167.46588134765625,97.93558502197266
2015-01-28 00:00:00,31.24961280822754,123.41999816894531,92.70558166503906,165.3182373046875,99.53669738769531
2015-01-29 00:00:00,31.24961280822754,120.76000213623047,93.59661865234375,166.8463592529297,98.88166809082031
2015-01-30 00:00:00,30.39281463623047,123.44999694824219,92.87092590332031,164.74826049804688,100.63558197021484
2015-02-02 00:00:00,30.938051223754883,122.41999816894531,93.67928314208984,166.7885284423828,100.25565338134766
2015-02-03 00:00:00,31.522228240966797,121.05000305175781,94.57953643798828,169.2004852294922,98.1335678100586
2015-02-04 00:00:00,31.366443634033203,121.58000183105469,94.4968490600586,168.5561981201172,98.30127716064453
2015-02-05 00:00:00,31.553386688232422,121.79000091552734,95.31436920166016,170.25784301757812,97.2220458984375
2015-02-06 00:00:00,31.01593780517578,118.63999938964844,94.7356948852539,169.78697204589844,95.50103759765625
2015-02-09 00:00:00,30.96920394897461,119.16999816894531,94.43255615234375,169.02706909179688,95.34789276123047
2015-02-10 00:00:00,30.89130973815918,118.47000122070312,95.90234375,170.82778930664062,94.58946228027344
2015-02-11 00:00:00,30.665428161621094,117.06999969482422,96.25139617919922,170.92684936523438,94.7645034790039
2015-02-12 00:00:00,31.319704055786133,117.33999633789062,97.37210083007812,172.5706329345703,94.45098114013672
2015-02-13 00:00:00,31.678003311157227,117.9800033569336,98.2080078125,173.28099060058594,93.4810791015625
2015-02-17 00:00:00,31.6079158782959,116.01000213623047,98.29987335205078,173.55360412597656,92.07361602783203
2015-02-18 00:00:00,31.600116729736328,116.33999633789062,98.43765258789062,173.5701446533203,92.62052154541016
2015-02-19 00:00:00,31.467710494995117,115.94000244140625,98.9245376586914,173.44618225097656,92.00798034667969
2015-02-20 00:00:00,31.678003311157227,115.27999877929688,99.5859146118164,174.48699951171875,92.27781677246094
2015-02-23 00:00:00,31.358654022216797,115.43000030517578,99.68693542480469,174.46221923828125,93.33523559570312
2015-02-24 00:00:00,31.8104190826416,115.26000213623047,99.76043701171875,174.95779418945312,94.56034851074219
2015-02-25 00:00:00,31.74810791015625,115.69999694824219,99.5124282836914,174.80914306640625,94.96870422363281
2015-02-26 00:00:00,31.755895614624023,116.06999969482422,100.01765441894531,174.60255432128906,93.67063903808594
2015-02-27 00:00:00,31.732528686523438,116.16000366210938,99.57674407958984,174.00787353515625,94.45822143554688
2015-03-02 00:00:00,31.685791015625,115.68000030517578,100.47695922851562,175.10650634765625,92.69879913330078
2015-03-03 00:00:00,31.4443302154541,115.47000122070312,100.00847625732422,174.3878936767578,92.36270141601562
2015-03-04 00:00:00,31.10161018371582,115.11000061035156,99.62266540527344,173.65274047851562,92.39192962646484
2015-03-05 00:00:00,31.054880142211914,115.0,99.79717254638672,173.84266662597656,92.27503204345703
2015-03-06 00:00:00,30.579742431640625,111.86000061035156,98.66732025146484,171.39767456054688,90.23644256591797
2015-03-09 00:00:00,30.462913513183594,111.97000122070312,98.95210266113281,172.10806274414062,91.0694580078125
2015-03-10 00:00:00,29.785274505615234,111.41999816894531,97.1148681640625,169.31613159179688,92.26773071289062
2015-03-11 00:00:00,30.011154174804688,110.75,96.55453491210938,168.9196319580078,92.93991088867188
2015-03-12 00:00:00,30.19809341430664,110.72000122070312,97.1883773803711,171.06729125976562,92.87416076660156
2015-03-13 00:00:00,29.832008361816406,110.87999725341797,96.76580047607422,170.0182647705078,92.58918762207031
2015-03-16 00:00:00,30.1903018951416,110.80999755859375,98.01510620117188,172.28976440429688,93.4806137084961
2015-03-17 00:00:00,30.540802001953125,110.20999908447266,98.17124938964844,171.7776641845703,94.25511169433594
2015-03-18 00:00:00,31.28855323791504,112.37000274658203,99.13580322265625,173.84266662597656,96.07445526123047
2015-03-19 00:00:00,30.758895874023438,112.29000091552734,99.28278350830078,173.04974365234375,95.58493041992188
2015-03-20 00:00:00,31.218460083007812,113.56999969482422,99.92544555664062,174.57720947265625,96.08909606933594
2015-03-23 00:00:00,31.311927795410156,114.29000091552734,99.73210144042969,174.2369842529297,95.97212982177734
2015-03-24 00:00:00,31.436548233032227,114.56999969482422,99.37299346923828,173.25799560546875,96.90010833740234
2015-03-25 00:00:00,30.938051223754883,114.7300033569336,97.09881591796875,170.71910095214844,96.08174133300781
2015-03-26 00:00:00,30.649852752685547,115.4800033569336,96.76739501953125,170.31251525878906,94.58390045166016
2015-03-27 00:00:00,30.735536575317383,115.05999755859375,97.1540756225586,170.70257568359375,95.76024627685547
2015-03-30 00:00:00,31.327503204345703,113.75,98.2681655883789,172.78500366210938,95.28533172607422
2015-03-31 00:00:00,31.257396697998047,113.66000366210938,97.22772216796875,171.2749481201172,95.48991394042969
2015-04-01 00:00:00,31.6468505859375,115.5999984741211,96.72135162353516,170.66934204101562,96.744140625
2015-04-02 00:00:00,32.12197494506836,115.27999877929688,96.78579711914062,171.28330993652344,95.71908569335938
2015-04-06 00:00:00,32.53480911254883,116.69000244140625,97.57760620117188,172.43658447265625,95.1845474243164
2015-04-07 00:00:00,32.37123107910156,116.11000061035156,97.4118881225586,171.98019409179688,95.98269653320312
2015-04-08 00:00:00,33.04888153076172,115.47000122070312,98.18527221679688,172.56101989746094,96.01195526123047
2015-04-09 00:00:00,33.376007080078125,114.66999816894531,98.80216979980469,173.32431030273438,94.76724243164062
2015-04-10 00:00:00,33.399391174316406,115.97000122070312,99.20726013183594,174.2702178955078,94.9063949584961
2015-04-13 00:00:00,33.204654693603516,115.13999938964844,98.95869445800781,173.4820098876953,95.03817749023438
2015-04-14 00:00:00,33.3526496887207,114.44000244140625,98.67324829101562,173.81387329101562,95.7117919921875
2015-04-15 00:00:00,33.58631134033203,115.43000030517578,99.29010772705078,174.59385681152344,95.63127136230469
2015-04-16 00:00:00,33.85114669799805,115.02999877929688,99.15201568603516,174.54400634765625,95.15534210205078
2015-04-17 00:00:00,33.259178161621094,115.5999984741211,97.60523986816406,172.53616333007812,96.24626922607422
2015-04-20 00:00:00,33.22801971435547,114.72000122070312,99.06917572021484,174.11256408691406,95.39693450927734
2015-04-21 00:00:00,33.42274856567383,115.37999725341797,99.49269104003906,173.90516662597656,94.9649429321289
2015-04-22 00:00:00,33.781036376953125,113.83000183105469,100.03592681884766,174.75973510742188,93.51522827148438
2015-04-23 00:00:00,34.03029251098633,114.66000366210938,100.41341400146484,175.19947814941406,93.91790771484375
2015-04-24 00:00:00,34.1549186706543,113.05000305175781,101.77607727050781,175.60601806640625,94.503662109375
2015-04-27 00:00:00,34.28733444213867,115.33000183105469,101.51827239990234,174.87591552734375,94.503662109375
2015-04-28 00:00:00,34.34184646606445,116.33000183105469,101.31571960449219,175.43177795410156,93.20034790039062
2015-04-29 00:00:00,33.91345977783203,115.51000213623047,100.68042755126953,174.7099609375,92.05814361572266
2015-04-30 00:00:00,33.399391174316406,113.47000122070312,99.09679412841797,172.9593048095703,92.21923828125
2015-05-01 00:00:00,33.601898193359375,113.08000183105469,100.40422058105469,174.83438110351562,90.97782897949219
2015-05-04 00:00:00,33.796630859375,114.0999984741211,100.56993865966797,175.33224487304688,90.11940002441406
2015-05-05 00:00:00,33.43052673339844,114.41999816894531,98.93104553222656,173.32431030273438,89.99471282958984
2015-05-06 00:00:00,33.01771545410156,114.36000061035156,98.24974822998047,172.61082458496094,88.45392608642578
2015-05-07 00:00:00,32.97098159790039,113.41999816894531,98.83899688720703,173.29942321777344,89.64251708984375
2015-05-08 00:00:00,33.3915901184082,113.97000122070312,100.07274627685547,175.58111572265625,89.8846435546875
2015-05-11 00:00:00,33.07224655151367,113.52999877929688,99.68605041503906,174.7431182861328,87.69820404052734
2015-05-12 00:00:00,32.963191986083984,114.5,99.23490142822266,174.22039794921875,87.92568969726562
