Date,Custom Multi-Asset Index,SPY
2012-01-03,100.0,100.0
2012-01-04,100.0,100.15685169647067
2012-01-05,100.0,100.42351883552807
2012-01-06,100.0,100.16470005781137
2012-01-09,100.0,100.40784521891536
2012-01-10,100.0,101.27840486792492
2012-01-11,100.0,101.3333125892183
2012-01-12,100.0,101.5764885584139
2012-01-13,100.0,101.05095642950236
2012-01-17,100.0,101.44313573382794
2012-01-18,100.0,102.5646812032593
2012-01-19,100.0,103.10587924676065
2012-01-20,100.0,103.49017167963098
2012-01-23,100.0,103.22352764664228
2012-01-24,100.0,103.10587924676065
2012-01-25,100.0,103.96861364049823
2012-01-26,100.0,103.43527936238341
2012-01-27,100.0,103.38825081052238
2012-01-30,100.0,103.03525169671714
2012-01-31,100.0,102.99606380417391
2012-02-01,100.0,103.89802460056924
2012-02-02,100.0,104.06274776444934
2012-02-03,100.0,105.5215648169129
2012-02-06,100.0,105.4509372668694
2012-02-07,100.0,105.71762751199552
2012-02-08,100.0,106.03136171302847
2012-02-09,100.0,106.16471453761444
2012-02-10,100.0,105.38042524716946
2012-02-13,100.0,106.16471453761444
2012-02-14,100.0,106.03136171302847
2012-02-15,100.0,105.5372384335256
2012-02-16,100.0,106.70589717706997
2012-02-17,100.0,106.9882225286943
2012-02-21,100.0,107.03528959066986
2012-02-22,100.0,106.69019275236566
2012-02-23,100.0,107.1607940539151
2012-02-24,100.0,107.39608315165547
2012-02-27,100.0,107.57647223012539
2012-02-28,100.0,107.89014481497512
2012-02-29,100.0,107.46661827742415
2012-03-01,100.0,108.02348993753819
2012-03-02,100.0,107.69408982191541
2012-03-05,100.0,107.25488966775174
2012-03-06,100.0,105.68626487472434
2012-03-07,100.0,106.42353331533121
2012-03-08,100.0,107.48236121224302
2012-03-09,100.0,107.89801628238456
2012-03-12,100.0,107.90590315383982
2012-03-13,100.0,109.850956614351
2012-03-14,100.0,109.73329281042356
2012-03-15,100.0,110.36862497787601
2012-03-16,100.0,110.52144081434419
2012-03-19,100.0,110.95471041087063
2012-03-20,100.0,110.63174918639689
2012-03-21,100.0,110.45057450159061
2012-03-22,100.0,109.6549016212913
2012-03-23,100.0,110.00936411944859
2012-03-26,100.0,111.55336554524709
2012-03-27,100.0,111.20677451449923
2012-03-28,100.0,110.65540209873971
2012-03-29,100.0,110.46628662831787
2012-03-30,100.0,110.92320143516423
2012-04-02,100.0,111.73455563409918
2012-04-03,100.0,111.27767163534443
2012-04-04,100.0,110.17483437955053
2012-04-05,100.0,110.11966478947839
2012-04-09,100.0,108.88292016344934
2012-04-10,100.0,107.05531485022424
2012-04-11,100.0,107.92186944732293
2012-04-12,100.0,109.33196350288625
2012-04-13,100.0,108.0321393092611
2012-04-16,100.0,107.9612575924617
2012-04-17,100.0,109.56035158810329
2012-04-18,100.0,109.19013845310424
2012-04-19,100.0,108.48905411610747
2012-04-20,100.0,108.67022109889083
2012-04-23,100.0,107.75644539935844
2012-04-24,100.0,108.16603897747336
2012-04-25,100.0,109.6470455579277
2012-04-26,100.0,110.41111703824573
2012-04-27,100.0,110.59232253114362
2012-04-30,100.0,110.18268274089127
2012-05-01,100.0,110.86806265318371
2012-05-02,100.0,110.5371683451173
2012-05-03,100.0,109.6942666603614
2012-05-04,100.0,107.92186944732298
2012-05-07,100.0,108.00063033355471
2012-05-08,100.0,107.56737614107408
2012-05-09,100.0,106.92930205346727
2012-05-10,100.0,107.14986488341229
2012-05-11,100.0,106.82692676500724
2012-05-14,100.0,105.64525930477548
2012-05-15,100.0,105.03864798073768
2012-05-16,100.0,104.63694127407801
2012-05-17,100.0,103.08509148693881
2012-05-18,100.0,102.20278625299832
2012-05-21,100.0,103.95949444537823
2012-05-22,100.0,104.14068453423029
2012-05-23,100.0,104.19580791216501
2012-05-24,100.0,104.40064321133697
2012-05-25,100.0,104.0618620318153
2012-05-29,100.0,105.32225186816424
2012-05-30,100.0,103.79403188729914
2012-05-31,100.0,103.56562839803631
2012-06-01,100.0,100.95813164944528
2012-06-04,100.0,100.91087973891999
2012-06-05,100.0,101.67500513339836
2012-06-06,100.0,103.95949444537817
2012-06-07,100.0,104.02247388667651
2012-06-08,100.0,104.84967114672807
2012-06-11,100.0,103.51832257335067
2012-06-12,100.0,104.70783069290025
2012-06-13,100.0,104.03823222554118
2012-06-14,100.0,105.14111569347251
2012-06-15,100.0,106.21638740928758
2012-06-18,100.0,106.42227018357472
2012-06-19,100.0,107.4516840550104
2012-06-20,100.0,107.2774642968878
2012-06-21,100.0,104.87028946204613
2012-06-22,100.0,105.67796209403224
2012-06-25,100.0,103.98345543863724
2012-06-26,100.0,104.50605309682174
2012-06-27,100.0,105.44831857908159
2012-06-28,100.0,105.14742365023211
2012-06-29,100.0,107.7683989389078
2012-07-02,100.0,108.09306231044368
2012-07-03,100.0,108.80569968179871
2012-07-05,100.0,108.31476503977872
2012-07-06,100.0,107.28538967845758
2012-07-09,100.0,107.15076602009219
2012-07-10,100.0,106.21638740928758
2012-07-11,100.0,106.23226898051874
2012-07-12,100.0,105.71755049176654
2012-07-13,100.0,107.49125704869891
2012-07-16,100.0,107.2378681971306
2012-07-17,100.0,107.97428941521783
2012-07-18,100.0,108.77402896361123
2012-07-19,100.0,109.0590808313441
2012-07-20,100.0,108.06138389023332
2012-07-23,100.0,106.96862858242272
2012-07-24,100.0,106.05013924487218
2012-07-25,100.0,106.0739230916044
2012-07-26,100.0,107.82386120585035
2012-07-27,100.0,109.81133740852506
2012-07-30,100.0,109.81133740852506
2012-07-31,100.0,109.04326087629616
2012-08-01,99.6445153793271,108.94823331768802
2012-08-02,99.6984586079062,108.19599214455286
2012-08-03,100.08072111466461,110.3418989583939
2012-08-06,100.12367004576357,110.55566090211337
2012-08-07,99.4684102152356,111.10992927848535
2012-08-08,99.10690599411751,111.2445144267362
2012-08-09,99.00595700291161,111.33954198534435
2012-08-10,99.27143793656545,111.52168712503669
2012-08-13,99.17454097127889,111.46625566618576
2012-08-14,98.66093738950306,111.48209872730239
2012-08-15,98.38662725720145,111.60878160005218
2012-08-16,98.5983178065309,112.43233580326945
2012-08-17,98.81243766878333,112.5827255025224
2012-08-20,98.78812327103128,112.59066628813797
2012-08-21,98.90415962960743,112.25012904739383
2012-08-22,99.44236150106494,112.29768903883533
2012-08-23,99.20972985234616,111.37915348914733
2012-08-24,99.48793413748417,112.05220246276807
2012-08-27,99.78901821537342,112.07596320343154
2012-08-28,99.95076286364589,111.96515419989
2012-08-29,99.82101459149207,112.05220246276804
2012-08-30,99.67895734267871,111.24451442673613
2012-08-31,100.41194471450751,111.77507597660497
2012-09-04,100.58326513825754,111.67218465261028
2012-09-05,100.33686295492082,111.57713398793341
2012-09-06,100.75792569956961,113.84176748486283
2012-09-07,100.76222265070218,114.28521145364748
2012-09-10,100.38983234534552,113.63590011462152
2012-09-11,100.37273266033625,113.9525995944731
2012-09-12,100.1368272031037,114.33273293497446
2012-09-13,100.92415997632409,116.07471485955902
