date,ticker,close
2015-01-02,DBC,15.412327766418457
2015-01-05,DBC,15.192514419555664
2015-01-06,DBC,15.048787117004395
2015-01-07,DBC,14.955792427062988
2015-01-08,DBC,15.014971733093262
2015-01-09,DBC,14.989607810974121
2015-01-12,DBC,14.65988826751709
2015-01-13,DBC,14.600707054138184
2015-01-14,DBC,14.761340141296387
2015-01-15,DBC,14.55843448638916
2015-01-16,DBC,14.837430000305176
2015-01-20,DBC,14.63452434539795
2015-01-21,DBC,14.727522850036621
2015-01-22,DBC,14.710614204406738
2015-01-23,DBC,14.6176176071167
2015-01-26,DBC,14.566889762878418
2015-01-27,DBC,14.64297866821289
2015-01-28,DBC,14.431620597839355
2015-01-29,DBC,14.363985061645508
2015-01-30,DBC,14.710614204406738
2015-02-02,DBC,14.913517951965332
2015-02-03,DBC,15.327783584594727
2015-02-04,DBC,14.989607810974121
2015-02-05,DBC,15.192514419555664
2015-02-06,DBC,15.234785079956055
2015-02-09,DBC,15.386964797973633
2015-02-10,DBC,15.192514419555664
2015-02-11,DBC,15.074153900146484
2015-02-12,DBC,15.302420616149902
2015-02-13,DBC,15.47150707244873
2015-02-17,DBC,15.479962348937988
2015-02-18,DBC,15.293966293334961
2015-02-19,DBC,15.243240356445312
2015-02-20,DBC,15.184059143066406
2015-02-23,DBC,15.082606315612793
2015-02-24,DBC,15.091060638427734
2015-02-25,DBC,15.319329261779785
2015-02-26,DBC,15.192514419555664
2015-02-27,DBC,15.361601829528809
2015-03-02,DBC,15.1417875289917
2015-03-03,DBC,15.234785079956055
2015-03-04,DBC,15.099515914916992
2015-03-05,DBC,15.040337562561035
2015-03-06,DBC,14.854338645935059
2015-03-09,DBC,14.812067985534668
2015-03-10,DBC,14.6176176071167
2015-03-11,DBC,14.693705558776855
2015-03-12,DBC,14.626070022583008
2015-03-13,DBC,14.330167770385742
2015-03-16,DBC,14.313258171081543
2015-03-17,DBC,14.211806297302246
2015-03-18,DBC,14.600707054138184
2015-03-19,DBC,14.35552978515625
2015-03-20,DBC,14.549981117248535
2015-03-23,DBC,14.719067573547363
2015-03-24,DBC,14.600707054138184
2015-03-25,DBC,14.64297866821289
2015-03-26,DBC,14.820520401000977
2015-03-27,DBC,14.524616241455078
2015-03-30,DBC,14.600707054138184
2015-03-31,DBC,14.431620597839355
2015-04-01,DBC,14.693705558776855
2015-04-02,DBC,14.6176176071167
2015-04-06,DBC,14.80361270904541
2015-04-07,DBC,14.8797025680542
2015-04-08,DBC,14.592253684997559
2015-04-09,DBC,14.592253684997559
2015-04-10,DBC,14.744433403015137
2015-04-13,DBC,14.67679500579834
2015-04-14,DBC,14.744433403015137
2015-04-15,DBC,15.040337562561035
2015-04-16,DBC,15.200968742370605
2015-04-17,DBC,15.16715145111084
2015-04-20,DBC,15.099515914916992
2015-04-21,DBC,14.989607810974121
2015-04-22,DBC,15.040337562561035
2015-04-23,DBC,15.226330757141113
2015-04-24,DBC,15.217877388000488
2015-04-27,DBC,15.217877388000488
2015-04-28,DBC,15.243240356445312
2015-04-29,DBC,15.34469223022461
2015-04-30,DBC,15.463055610656738
2015-05-01,DBC,15.446146965026855
2015-05-04,DBC,15.437690734863281
2015-05-05,DBC,15.564505577087402
2015-05-06,DBC,15.564505577087402
2015-05-07,DBC,15.319329261779785
2015-05-08,DBC,15.4038724899292
